Reference, Quantity, Value, Footprint,Required,Notes,Part Link
C2 ,1,330nF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,Y,,
C3 ,1,1pF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,Y,,
C1 C4 C5 C6 ,4,100nF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,Y,,
C7 ,1,1uF,Capacitor_SMD:CP_Elec_4x5.4,Y,,
CR1 ,1,BD681 or BD681G,Additional-parts:BD681,Y,Darlington tranistor,https://www.digikey.com/en/products/detail/on-semiconductor/BD681/606034 https://www.digikey.com/en/products/detail/on-semiconductor/BD681G/918366
D1 ,1,SFH_213_FA,Additional-parts:SFH_213_FA,Y,Photodiode,https://www.digikey.com/en/products/detail/osram-opto-semiconductors-inc/SFH-213-FA/2205882?s=N4IgTCBcDaIMoDEASACMBGAzChBBEAugL5A
D2 D3 ,2,LED,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Y,,
J1 ,1,EJ503A,Additional-parts:DCJack_MPD_EJ503A,Y,DC jack,
J2 ,1,Screw_Terminal_01x02,TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm,Y,For attaching actinic LED,https://www.digikey.com/en/products/detail/phoenix-contact/1730010/2511110
R1 ,1,20K,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Y,,
R10 ,1,1M,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Y,,
R11 ,1,5.1K,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Y,,
R12 ,1,1K,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Y,,
R13 ,1,15K,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Y,,
R2 ,1,5,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Y,,
R3 ,1,3.9M,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Y,,
R4 ,1,10K,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Y,,
R5 ,1,3.3M,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Y,,
R6 ,1,8.2K,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Y,,
R7 ,1,47,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Y,,
R8 ,1,2M,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Y,,
R9 ,1,6.8K,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Y,,
U1 U2 ,2,"74HC4066D,653",Additional-parts:SOIC127P600X175-14N,Y,CMOS switch,https://www.digikey.com/en/products/detail/toshiba-semiconductor-and-storage/74HC4066D/7809425
U3 ,1,KA7812ETU or MC7812CTG,Additional-parts:TO253P1067X470X2040-3,Y,Linear voltage regulator,https://www.digikey.com/en/products/detail/on-semiconductor/KA7812ETU/1051250 https://www.digikey.com/en/products/detail/on-semiconductor/MC7812CTG/919340
U4 ,1,OPA320AIDBVT,Additional-parts:SOT95P280X145-5N,Y,Operational amplifier,https://www.digikey.com/en/products/detail/texas-instruments/OPA320SAIDBVT/4291961 
